enc_input,dec_input
एमिटी विश्वविद्यालय भारत की सबसे बड़ी निजी विश्वविद्यालय है.,एमिटी विश्वविद्यालय भारत का सबसे बड़ा निजी विश्वविद्यालय है.
पियूल अफ्रीका का एक भाषा है.,पियूल अफ्रीका की एक भाषा है.
यह बिहार का पश्चिमी सीमा पर है.,यह बिहार के पश्चिमी सीमा पर है.
भगवानपुर हाट भारतीय राज्य बिहार के सीवान एक कस्बा और प्रखण्ड  सामुदायिक विकासखंड  है.,भगवानपुर हाट भारतीय राज्य बिहार का सीवान एक कस्बा और प्रखण्ड  सामुदायिक विकासखंड  है.
रोग़न जोश भेड़ के मांस का एक कश्मीरी व्यंजन है जो कश्मीरी खाने का एक ख़ासियत मानी जाती है.,रोग़न जोश भेड़ के मांस का एक कश्मीरी व्यंजन है जो कश्मीरी खाने की एक ख़ासियत मानी जाती है.
किसी घटना का हास्यास्पद प्रस्तुति को परिहास या लतीफे कहते हैं.,किसी घटना की हास्यास्पद प्रस्तुति को परिहास या लतीफे कहते हैं.
फरा धान का कटोरा कहलाने वाला छत्तीसगढ़ प्रांत का चावल से बना एक और व्यंजन है.,फरा धान का कटोरा कहलाने वाले छत्तीसगढ़ प्रांत का चावल से बना एक और व्यंजन है.
ेसरदार सलीम हैदर खान पाकिस्तान का राष्ट्रीय विधानसभा में एक राजनीतिज्ञ है.,ेसरदार सलीम हैदर खान पाकिस्तान की राष्ट्रीय विधानसभा में एक राजनीतिज्ञ हैं.
प्राचीन मिस्र मे अभाज्य संख्या के ज्ञान होने का संकेत रायंड पपायरस मे मिलता है.,प्राचीन मिस्र मे अभाज्य संख्या का ज्ञान होने का संकेत रायंड पपायरस मे मिलता है.
अनामिका  हिंदी कवयित्री  हिंदी के सुप्रसिद्ध कवि हैं.,अनामिका  हिंदी कवयित्री  हिंदी की सुप्रसिद्ध कवि हैं.
नीलेश रघुवंशी हिंदी के सुप्रसिद्ध लेखिका हैं.,नीलेश रघुवंशी हिंदी की सुप्रसिद्ध लेखिका हैं.
यहा प्रदर्शित राजकीय चिन्ह राम जी के युग की ही है.,यहा प्रदर्शित राजकीय चिन्ह राम जी के युग के ही हैं.
"बच्चों और वयस्क लोगों में, विटामिन ई के अभाव से, दिमाग के नसों का या न्युरोलोजीकल समस्या हो सकता है.","बच्चों और वयस्क लोगों में, विटामिन ई के अभाव से, दिमाग की नसों का या न्युरोलोजीकल समस्या हो सकती है."
"अत्यधिक विटामिन ई लेने से खून के सेलों पर असर पड़ सकता है, जिससे की खून बहना या बीमारी होना मुमकिन है.","अत्यधिक विटामिन ई लेने से खून की सेलों पर असर पड़ सकता है, जिससे की खून बहना या बीमारी होना मुमकिन है."
वर्तमान में यहां की सांसद श्री डॉ सीपी जोशी हैं जो लोकसभा चुनावों भाजपा के सफल प्रत्याशी थे.,वर्तमान में यहां के सांसद श्री डॉ सीपी जोशी हैं जो लोकसभा चुनावों भाजपा के सफल प्रत्याशी थे.
जालौर लोकसभा निर्वाचन क्षेत्र में जालोर व सिरोही जिले की कुल आठ विधानसभा क्षेत्र है.,जालौर लोकसभा निर्वाचन क्षेत्र में जालोर व सिरोही जिले के कुल आठ विधानसभा क्षेत्र है.
एक अंक वाला नाटकों को एकांकी कहते हैं.,एक अंक वाले नाटकों को एकांकी कहते हैं.
बच्चे के जन्म का रास्ता कूल्हे के हडिड्यों के ऊपर की सतह से नीचे की सतह तक होता है.,बच्चे के जन्म का रास्ता कूल्हे की हडिड्यों के ऊपर की सतह से नीचे की सतह तक होता है.
इलाहाबाद में फूलपुर तहसील का बहादुरपुर ब्लॉक में लीलापुर खुर्द गाँव स्थित है.,इलाहाबाद में फूलपुर तहसील के बहादुरपुर ब्लॉक में लीलापुर खुर्द गाँव स्थित है.
विश्व में एक और झंडा है जो चौकोर नही है वह है अमेरिका का ओहाइयो का.,विश्व में एक और झंडा है जो चौकोर नही है वह है अमेरिका के ओहाइयो का.
"गुरु जम्भेश्वर "" भगवान "" को बिश्नोई पंथ का संस्थापक माना जाता है.","गुरु जम्भेश्वर "" भगवान "" को बिश्नोई पंथ के संस्थापक माना जाता है."
यह भारतीय टीवी दूरदर्शन का राष्‍ट्रीय चैनल हैं.,यह भारतीय टीवी दूरदर्शन के राष्‍ट्रीय चैनल हैं.
कोशिका विभाजन द्वारा ही जीवों के शरीर की वृद्धि और विकास होता है.,कोशिका विभाजन द्वारा ही जीवों के शरीर का वृद्धि और विकास होता है.
उसने इंग्लैंड के सराकर को आदर्श बताया क्योंकि वहां संवैधानिक राजतंत्र था जिससे वहां नागरिकों को स्वतंत्रता थी.,उसने इंग्लैंड की सराकर को आदर्श बताया क्योंकि वहां संवैधानिक राजतंत्र था जिससे वहां नागरिकों को स्वतंत्रता थी.
"इस किस्म का ऊन लिंकन, कौस्टवोल्ड, लीसेस्टर और रोमनी मार्श नाम से विख्यात है.","इस किस्म की ऊन लिंकन, कौस्टवोल्ड, लीसेस्टर और रोमनी मार्श नाम से विख्यात है."
मध्यम महीन कोटि का यह ऊन मेरिनो या रैमबूले नस्ल और लंबे ऊनवाली भेड़ों की वर्णसंकर नस्ल से प्राप्त होता है.,मध्यम महीन कोटि की यह ऊन मेरिनो या रैमबूले नस्ल और लंबे ऊनवाली भेड़ों की वर्णसंकर नस्ल से प्राप्त होती है.
इस किस्म के कुछ ऊनों के रंग काफी अच्छे होते हैं और लोच भी पूरी होती है.,इस किस्म की कुछ ऊनों के रंग काफी अच्छे होते हैं और लोच भी पूरी होती है.
"इस ऑपरेटिंग सिस्टम में सब कुछ टच आधारित है जैसे वर्चुअल के बोर्ड, स्वीपिंग, टैपिंग, पिंचिंग इत्यादि.","इस ऑपरेटिंग सिस्टम में सब कुछ टच आधारित है जैसे वर्चुअल की बोर्ड, स्वीपिंग, टैपिंग, पिंचिंग इत्यादि."
एंड्रॉइड के होमस्क्रीन आमतौर पर अनुप्रयोग  एप्लिकेशन  और विड्जेट से भारी होती है.,एंड्रॉइड की होमस्क्रीन आमतौर पर अनुप्रयोग  एप्लिकेशन  और विड्जेट से भारी होती है.
विजेता को दस हजार स्टर्लिंग पाउंड और यूनेस्को के अलबर्ट आईनस्टीन रजत पदक प्रदान किया जाता है.,विजेता को दस हजार स्टर्लिंग पाउंड और यूनेस्को का अलबर्ट आईनस्टीन रजत पदक प्रदान किया जाता है.
1993 में इसके संस्करण 5 के बाद से यह इन प्लेटफार्मों पर सबसे व्यापक रूप से प्रयोग होने वाली उपलब्ध स्प्रेडशीट अनुप्रयोग है.,1993 में इसके संस्करण 5 के बाद से यह इन प्लेटफार्मों पर सबसे व्यापक रूप से प्रयोग होने वाला उपलब्ध स्प्रेडशीट अनुप्रयोग है.
यह खाद्य सामग्री या तो पेड़ पौधो से इकठ्ठा की जाती थी,यह खाद्य सामग्री या तो पेड़ पौधो से इकठ्ठा की जाती थी
पिनाराई विजयन केरल का मुख्य मंत्री है.,पिनाराई विजयन केरल के मुख्य मंत्री हैं.
विश्व भर में दस करोड़ से भी अधिक लोगों ने द आर्ट ऑफ लिविंग के कार्यशालाओं में भाग लिया है.,विश्व भर में दस करोड़ से भी अधिक लोगों ने द आर्ट ऑफ लिविंग की कार्यशालाओं में भाग लिया है.
जूनो बृहस्पति जाने वाले पहला यान होगा जो सौर ऊर्जा का प्रयोग करेगा.,जूनो बृहस्पति जाने वाला पहला यान होगा जो सौर ऊर्जा का प्रयोग करेगा.
वर्तमान समय में बॉस ग्नू लिनक्स का नवीनतम डेस्कटॉप संस्करण को अठारह भारतीय भाषाओं में लोकलाइज किया जा चुका है.,वर्तमान समय में बॉस ग्नू लिनक्स के नवीनतम डेस्कटॉप संस्करण को अठारह भारतीय भाषाओं में लोकलाइज किया जा चुका है.
द्वीप को पहले इंग्लैंड का चार्ल्स द्वितीय के नाम पर चार्ल्स नाम से जाना जाता था.,द्वीप को पहले इंग्लैंड के चार्ल्स द्वितीय के नाम पर चार्ल्स नाम से जाना जाता था.
वे जेपी आंदोलन के ग्यारह सदस्यीय छात्र संघर्ष संचालन समिति के सदस्य थे.,वे जेपी आंदोलन की ग्यारह सदस्यीय छात्र संघर्ष संचालन समिति के सदस्य थे.
एवम इसमे मनुष्यो की आर्थिक गतिविधियों में राज्य के हस्तक्षेप के खण्डन किया जाता है.,एवम इसमे मनुष्यो की आर्थिक गतिविधियों में राज्य के हस्तक्षेप का खण्डन किया जाता है.
जॉन लॉक को उदारवाद के जनक माना जाता है.,जॉन लॉक को उदारवाद का जनक माना जाता है.
सन् १९३४ में बिहार में एक भयंकर भूकंप आया जिसमें इस संस्थान की मुख्य भवनों को काफी क्षति हुई.,सन् १९३४ में बिहार में एक भयंकर भूकंप आया जिसमें इस संस्थान के मुख्य भवनों को काफी क्षति हुई.
भारत की राष्ट्रपति प्रतिभा पाटिल ने पद्म पुरस्कार पाने वाली 130 व्यक्तियों के नामों की घोषणा की.,भारत की राष्ट्रपति प्रतिभा पाटिल ने पद्म पुरस्कार पाने वाले 130 व्यक्तियों के नामों की घोषणा की.
भूकंप से राजधानी पोर्ट ऑ प्रिंस की कई भवन ध्वस्त हो गई और कई स्थानीय निवासी उसके नीचे दब गए.,भूकंप से राजधानी पोर्ट ऑ प्रिंस के कई भवन ध्वस्त हो गए और कई स्थानीय निवासी उसके नीचे दब गए.
इस संस्था के चार प्रमुख विज्ञान शाखाएं है जो हैं,इस संस्था की चार प्रमुख विज्ञान शाखाएं है जो हैं
2019 14 को भारत में पुलवामा हमले में हुए शाहिद परिवारों की बहुत बड़ी मुश्किल घड़ी में सभी परिवार का सहायता किया हैं.,2019 14 को भारत में पुलवामा हमले में हुए शाहिद परिवारों की बहुत बड़ी मुश्किल घड़ी में सभी परिवार की सहायता किया हैं.
प्रार्थना एक धार्मिक क्रिया है जो ब्रह्माण्ड के किसी महान शक्ति से सम्बन्ध जोड़ने की कोशिश करती है.,प्रार्थना एक धार्मिक क्रिया है जो ब्रह्माण्ड की किसी महान शक्ति से सम्बन्ध जोड़ने की कोशिश करती है.
"प्रयोगशाला की मुख्य भवन औपचारिक तौर पर भारत के उपप्रधानमंत्री सरदार वल्लभभाई पटेल द्वारा २१ जनवरी, १९५० को आरम्भ की गई थी.","प्रयोगशाला का मुख्य भवन औपचारिक तौर पर भारत के उपप्रधानमंत्री सरदार वल्लभभाई पटेल द्वारा २१ जनवरी, १९५० को आरम्भ की गई थी."
बैतरणी ओडिशा का सबसे पुरातन नदी है.,बैतरणी ओडिशा की सबसे पुरातन नदी है.
संगणक सहायित अनुवाद किसी व्यक्ति द्वारा किया गया,संगणक सहायित अनुवाद किसी व्यक्ति द्वारा किया गया
मगर आन्ध्र प्रदेश के सर्कार ने इसे सरासर झूट साबित कर दिया और अजहरुद्दीन औतर मसूम साबित कर दिया.,मगर आन्ध्र प्रदेश की सर्कार ने इसे सरासर झूट साबित कर दिया और अजहरुद्दीन औतर मसूम साबित कर दिया.
बदरपुर में ही एनटीपीसी का एक तापविद्युत उत्पादन इकाइ भी स्थित है.,बदरपुर में ही एनटीपीसी की एक तापविद्युत उत्पादन इकाइ भी स्थित है.
"सन् २००१ के नेपाल की राष्ट्रीय जनगणना अनुसार यहाँ का जनसंख्या 3, 931 है जिसमे पुरुष 59 90 व महिला 40 10 है.","सन् २००१ की नेपाल की राष्ट्रीय जनगणना अनुसार यहाँ का जनसंख्या 3, 931 है जिसमे पुरुष 59 90 व महिला 40 10 है."
आरंभिक झटके के नब्बे मिनट बाद 185 मीटर दूर 6 9 तीव्रता वाले एक झटका महसूस किए गए.,आरंभिक झटके के नब्बे मिनट बाद 185 मीटर दूर 6 9 तीव्रता वाला एक झटका महसूस किए गया.
डिजिटल इलेक्ट्रॉनिक्स आम तौर पर लॉजिक गेट्स की वृहद संयोजन व बूलियन तर्क प्रकार्य के सरल इलेक्ट्रोनिक्स से बनाया जाता है.,डिजिटल इलेक्ट्रॉनिक्स आम तौर पर लॉजिक गेट्स के वृहद संयोजन व बूलियन तर्क प्रकार्य के सरल इलेक्ट्रोनिक्स से बनाया जाता है.
इस जनसंख्या वृद्धि की मूल कारण पहाड़ी क्षेत्रों से लोगों का लगातार निचले क्षेत्रों की और प्रवास मन जाता है.,इस जनसंख्या वृद्धि का मूल कारण पहाड़ी क्षेत्रों से लोगों का लगातार निचले क्षेत्रों की और प्रवास मन जाता है.
वह वास्तुशास्त्र का प्रकांड पडित तथा शास्त्रप्रणेता था.,वह वास्तुशास्त्र के प्रकांड पडित तथा शास्त्रप्रणेता थे.
"मंडन, महाराणा कुंभा  1433 1468 ई0  का प्रधान सूत्रधार  वास्तुविद  तथा मूर्तिशास्त्री थे.","मंडन, महाराणा कुंभा  1433 1468 ई0  के प्रधान सूत्रधार  वास्तुविद  तथा मूर्तिशास्त्री थे."
जब बूटी के आकृति को बड़ा कर दिया जाता है तो इस बढ़ी हुए आकृति को बूटा कहा जाता है.,जब बूटी की आकृति को बड़ा कर दिया जाता है तो इस बढ़ी हुए आकृति को बूटा कहा जाता है.
वर्तमान समय तक इस प्रकार के किसी भी कण के विद्यमान होने की ज्ञान नहीं है.,वर्तमान समय तक इस प्रकार के किसी भी कण के विद्यमान होने का ज्ञान नहीं है.
एक प्याला अनन्नास का रस सेवन से दिन भर के लिए आवश्यक मैग्नीशियम के ७५ की पूर्ति होती है.,एक प्याला अनन्नास के रस सेवन से दिन भर के लिए आवश्यक मैग्नीशियम के ७५ की पूर्ति होती है.
यह एक प्राचीन भारतीय धर्मग्रन्थ रामायण का टीवी रूपांतरण है और मुख्यतः वाल्मीकि रामायण और तुलसीदासजी की रामचरितमानस पर आधारित है.,यह एक प्राचीन भारतीय धर्मग्रन्थ रामायण का टीवी रूपांतरण है और मुख्यतः वाल्मीकि रामायण और तुलसीदासजी के रामचरितमानस पर आधारित है.
उन्होंने अपना खुद का ब्रांड के संगीत का निर्माण करने का फैसला किया.,उन्होंने अपने खुद के ब्रांड के संगीत का निर्माण करने का फैसला किया.
भगवान शिव की कृपा स्वरूप इनका जन्म मानने के कारण उन्होंने इनका नाम शिवराम रखा था.,भगवान शिव के कृपा स्वरूप इनका जन्म मानने के कारण उन्होंने इनका नाम शिवराम रखा था.
वह घटोत्कच और अहिलावती का पुत्र था.,वे घटोत्कच और अहिलावती के पुत्र थे.
उन्होने सर्वप्रथम नागलोक जाने के निश्चय किया वही उलूपी से उनका साक्षात्कार हुआ.,उन्होने सर्वप्रथम नागलोक जाने का निश्चय किया वही उलूपी से उनका साक्षात्कार हुआ.
अंग्रेजी का नर्स शब्द का अर्थ है पोषण.,अंग्रेजी के नर्स शब्द का अर्थ है पोषण.
"फिर चीनी की बूरा, चिरौंजी, मखाने, शहद और घी अच्छी तरह मिलाएं.","फिर चीनी का बूरा, चिरौंजी, मखाने, शहद और घी अच्छी तरह मिलाएं."
इनमें अधिकांशतः चित्र डाटा का कंप्यूटर का द्वारा प्रदर्शन और परिवर्तन किया गया होता है.,इनमें अधिकांशतः चित्र डाटा का कंप्यूटर के द्वारा प्रदर्शन और परिवर्तन किया गया होता है.
"इस संस्था द्वारा संस्कृत, अरबी, फारसी, बंगला, हिन्दी, उर्दू आदि के हजारों पुस्तकों के अनुवाद हुआ.","इस संस्था द्वारा संस्कृत, अरबी, फारसी, बंगला, हिन्दी, उर्दू आदि के हजारों पुस्तकों का अनुवाद हुआ."
"आपका लेख का शीर्षक संबंधित सुझाव शत प्रतिशत सही है, मुझे इससे अवगत कराने के लिये बहुत बहुत धन्यवाद.","आपका लेख के शीर्षक संबंधित सुझाव शत प्रतिशत सही है, मुझे इससे अवगत कराने के लिये बहुत बहुत धन्यवाद."
"नोआ एक वैतनिक अर्द्ध पेशेवर पुलिस की मुखबिर  अमेरिकी शब्दावली में एक "" "", या "" ""  बन जाता है.","नोआ एक वैतनिक अर्द्ध पेशेवर पुलिस का मुखबिर  अमेरिकी शब्दावली में एक "" "", या "" ""  बन जाता है."
1761 तक हैदराबाद का निज़ाम उसका मित्र बन गया.,1761 तक हैदराबाद के निज़ाम उसका मित्र बन गया.
भगवद्‌गीता हिन्दू धर्म की पवित्रतम ग्रन्थों में से एक है.,भगवद्‌गीता हिन्दू धर्म के पवित्रतम ग्रन्थों में से एक है.
अधिमस्तिष्क के कुछ भाग के चेतापेशीं की संख्या बडे़ पैमाने पर बढ़ती है.,अधिमस्तिष्क के कुछ भाग की चेतापेशीं की संख्या बडे़ पैमाने पर बढ़ती है.
पहले  कुमारवय में  लड़कों और लड़कियों का आवाज साधारणत समान ही होता है,पहले  कुमारवय में  लड़कों और लड़कियों के आवाज साधारणत समान ही होती है
चक्कर आने का आम शारीरिक कारणों में शामिल हैं.,चक्कर आने के आम शारीरिक कारणों में शामिल हैं.
उत्तराखंड राज्य में पाए जाने वाला कस्तूरी मृग प्रकृति के सुंदरतम जीवों में से एक हैं.,उत्तराखंड राज्य में पाए जाने वाले कस्तूरी मृग प्रकृति के सुंदरतम जीवों में से एक हैं.
व्यक्ति को मैथुन क्रिया सभी प्रकार का दर्द बंद होने तथा किसी भी मामले में एक सप्ताह के बाद ही आरंभ करनी चाहिए.,व्यक्ति को मैथुन क्रिया सभी प्रकार के दर्द बंद होने तथा किसी भी मामले में एक सप्ताह के बाद ही आरंभ करनी चाहिए.
विधायिका शब्द की तात्पर्य एवं उत्पत्ति विधान अर्थात् विधि द्वारा निश्चित है से हुई है.,विधायिका शब्द का तात्पर्य एवं उत्पत्ति विधान अर्थात् विधि द्वारा निश्चित है से हुई है.
आधार भारतीय विशिष्ट पहचान प्राधिकरण की बहुउद्देश्यीय राष्ट्रीय पहचान पत्र कार्यक्रम का नया नाम है.,आधार भारतीय विशिष्ट पहचान प्राधिकरण के बहुउद्देश्यीय राष्ट्रीय पहचान पत्र कार्यक्रम का नया नाम है.
"१९२७ में अखिल भारतीय हिंदी साहित्य सम्मलेन के अधिवेशन ने आपको "" महामहोपाध्याय "" के उपाधि से सम्मानित किया.","१९२७ में अखिल भारतीय हिंदी साहित्य सम्मलेन के अधिवेशन ने आपको "" महामहोपाध्याय "" की उपाधि से सम्मानित किया."
बगडावतो के वीरगती प्राप्त होने के बाद श्रीदेवनारायण के अवतार हुआ तथा उन्होने राजा दुर्जनसाल का वध किया.,बगडावतो के वीरगती प्राप्त होने के बाद श्रीदेवनारायण का अवतार हुआ तथा उन्होने राजा दुर्जनसाल का वध किया.
वर्तमान उत्तर प्रदेश के खीरी जनपद का मितौली गाँव इनके राज्य की राजधानी था.,वर्तमान उत्तर प्रदेश का खीरी जनपद का मितौली गाँव इनके राज्य की राजधानी था.
तमिलनाडु में हिन्दी को राष्ट्रभाषा बनाने के विरुद्ध जो आंदोलन हुआ था उसको तमिलनाडु के हिन्दी भाषा विरोधी आन्दोलन नाम से जाना जाता है.,तमिलनाडु में हिन्दी को राष्ट्रभाषा बनाने के विरुद्ध जो आंदोलन हुआ था उसको तमिलनाडु का हिन्दी भाषा विरोधी आन्दोलन नाम से जाना जाता है.
